Term,Type,Synonyms,Definition,Generated Definition
"banking service",Class,"","a financial service offered by a bank or similar depository institution, such as a cash management service, foreign exchange service, lending or credit service, investment service, insurance service, merchant service, payroll service, etc.","A kind of financial service. A valid occurrence satisfies the following necessary condition:
is provided by at least one occurrence of depository institution."
"base quantity",Class,"","a quantity kind in a conventionally chosen subset of a given system of quantities, where no subset quantity can be expressed in terms of the others","A kind of quantity kind. A valid occurrence satisfies the following necessary condition:
has definition exactly one occurrence of system of quantities."
"base rate",Class,"","a reference rate that is the base rate set by a central bank for a given currency","A kind of reference interest rate."
"base rate authority",Class,"","an interest rate authority responsible for setting the base rate for a given currency, typically a central bank","A kind of interest rate authority. A valid occurrence satisfies the following necessary condition:
sets at least one occurrence of base rate."
"base unit",Class,"","a measurement unit that is defined by a system of units to be the reference measurement unit for a base quantity","A kind of measurement unit. A valid occurrence satisfies the following necessary condition:
has definition exactly one occurrence of system of units."
"basis swap",Class,"","a floating-floating interest rate swap under which the floating rate payments are referenced to different bases","A kind of float-float interest rate swap."
"basket",Class,"","a collection of goods, services, or other things (e.g., financial contracts) that can be purchased and sold in some marketplace","A kind of collection. A valid occurrence satisfies the following necessary condition:
has constituent at least one occurrence of basket constituent."
"basket constituent",Class,"","a component of a basket","A kind of thing in role that can be recognized when an occurrence meets the following condition:
is played by at least one occurrence of `is constituent of [fibo-fbc-pas-fpas:isConstituentOf]` some `basket`."
"basket Of indices constituent",Class,"","a single constituent of a basket of indices","A kind of basket constituent. A valid occurrence may have the following properties:
has identity any number of occurrences of economic indicator or market rate."
"basket of securities",Class,"","a basket of traded securities","A kind of basket. A valid occurrence satisfies the following necessary condition:
has constituent at least one occurrence of securities basket constituent."
"beneficial owner",Class,"actual owner","Entity that enjoys the possession and/or benefits of ownership (such as receipt of income) of a property even though its ownership (title) is in the name of another entity (called a nominee or registered owner). Use of a nominee (who may be an agent, custodian, or a trustee) does not change the position regarding tax reporting and tax liability, and the beneficial-owner remains responsible.","A kind of shareholder."
"benefit corporation",Class,"","a not for profit corporation set up under specific state legislation to provide some stated societal benefit, and with some corresponding relaxation of the obligation to maximize shareholder return","A kind of not for profit corporation."
