Term,Type,Synonyms,Definition,Generated Definition
"has address line 1",Property,"","the first line of the street address","A property that is used by the class registration address."
"has address line 2",Property,"","the second line of the street address","A property that is used by the class registration address."
"has address line 3",Property,"","the third line of the street address","A property that is used by the class registration address."
"has address line 4",Property,"","the fourth line of the street address","A property that is used by the class registration address."
"has alias",Property,"","Any other name by which an individual or organization is known","A property specializing has name that can be used by any class."
"has amount",Property,"","a total number or quantity","A property specializing has numeric value that can be used by any class."
"has announcement date",Property,"","","A property specializing has date that can be used by any class."
"has applicable date period",Property,"","a predicate indicating the date period for which the statistical measure is applicable","A property specializing has date period that is used by the class statistical measure."
"has applicable period end",Property,"","a predicate indicating the end of the period for which the statistical measure is applicable","A property specializing has date time value that is used by the class statistical measure."
"has applicable period start",Property,"","a predicate indicating the start of the period for which the statistical measure is applicable","A property specializing has date time value that is used by the class statistical measure."
"has aquisition price",Property,"","has a value as of the date of acquisition, expressed as an amount of money or goods","A property specializing has price that can be used by any class."
"has as of date",Property,"","relates something to the date on which it is accurate or valid (e.g. a credit report has an asOfDate that means the date when the information was drawn)","A property specializing has date that can be used by any class."
"has available amount",Property,"","indicates an amount of money available for an individual or organization to borrow","A property specializing has monetary amount that can be used by any class."
"has base currency",Property,"","a predicate indicating the base currency in an exchange rate; one unit of this currency represents R units of the dealt currency, where R is the exchange rate value","A property specializing has currency that can be used by any class."
"has base money unit",Property,"","the currency in which the money amount is denominated","A property specializing has that is used by the class amount of money."
"has base period",Property,"","specifies the base period (typically a prior period) against which a numberic index for a more recent reporting period is compared","A property specializing has time context that can be used by any class."
"has business center",Property,"","identifies a location where business is conducted, and hence the business calendar used to adjust dates","A property specializing has that is used by the class business day adjustment."
"has business day adjustment",Property,"","identifies a convention for adjustment of the business day for handling weekends and holidays","A property specializing has that can be used by any class."
"has business day convention",Property,"","identifies a convention regarding how a date should be handled when it falls on a day that is not a business day","A property specializing has that is used by the class business day adjustment."
"has business recurrence interval convention",Property,"","identifies a convention regarding how certain recurring dates should be handled with respect to a given schedule, such as the end of the month","A property specializing has that is used by the class business recurrence interval."
"has calendar period",Property,"","identifies a calendar period used in computing a CalendarSpecifiedDate, such as a calendar week, calendar month, calendar quarter, or calendar year","A property specializing has that can be used by any class."
"has call terms",Property,"","","A property specializing has repayment terms that is used by the class debt offering."
"has citizenship",Property,"","links a person to their country of citizenship","A property specializing has that is used by the class person."
"has city",Property,"","the name of the city","A property that can be used by any class."
"has commencement date",Property,"","the date a party relationship comes into force","A property specializing has start date that is used by the class party in role."
"has common name",Property,"","a name by which something is frequently referred, without reference to any formal usage or structure","A property specializing has name that can be used by any class."
"has constituent",Property,"","an essential part, component, or element of some collection or set","A property specializing has part that is used by the class collection and has the inverse is constituent of."
"has context",Property,"","provides a context in which something is defined, expressed, or represented","A property specializing has that can be used by any class."
"has contract party",Property,"","has a party which is a signatory to the contract and to which is granted certain rights and obligations as defined in the contract and which concedes certain rights to and imposes certain obligations upon the other party as defined in the contract","A property specializing has party in role that is used by the class contract."
"has contractual element",Property,"","indicates an element, such as contractual definitions, terms describing commitments and the like, that forms part of a contract","A property specializing comprises that is used by the class contract."
"has count",Property,"","indicates the number of things in a collection, such as the number of entries in a RegularSchedule","A property specializing has numeric value that can be used by any class."
"has counterparty",Property,"","identifies a counterparty to a contract","A property specializing has contract party that is used by the class contract."
"has country",Property,"","identifies the country according to ISO 3166-1","A property specializing has that can be used by any class."
"has currency",Property,"","the currency in which the monetary amount is defined","A property specializing has that is used by the class monetary amount."
"has currency name",Property,"","provides the full currency name, including diacritical marks","A property specializing has name that is used by the class currency."
"has currency tag",Property,"","relates a unique three-character string to the identifier for a currency","A property specializing has unique identifier that is used by the class currency identifier."
"has data source",Property,"","relates something, such as an agreement, contract, document, report, process, and so forth to a source of data used to analyze, develop, explain, produce, or otherwise create it (e.g., Experian provides data for a CreditReport)","A property that can be used by any class."
"has date",Property,"","identifies a specific date","A property specializing has that can be used by any class."
"has date established",Property,"","the date that the financial service provider was established","A property specializing has date that can be used by any class."
"has date insured",Property,"","the date that the financial service provider was first insured for the purposes of protecting client accounts","A property specializing has date that can be used by any class."
"has date of birth",Property,"","links a person with their date of birth","A property specializing has date that is used by the class person."
"has date of incorporation",Property,"","the formal date of incorporation as stated in filing documents","A property specializing has date that can be used by any class."
"has date of issuance",Property,"","links something, typically an agreement, contract, or document, with the date it was issued","A property specializing has start date that can be used by any class."
"has date of registration",Property,"","a date on which the corporation has registered in some jurisdiction for regulatory and / or for tax purposes","A property specializing has date that can be used by any class."
"has date period",Property,"","identifies a specific period of time, including a start date, end date and or duration","A property specializing has that can be used by any class."
"has date received",Property,"","relates something to the date when it was received, e.g., a loan application request","A property specializing has date that can be used by any class."
"has date specification",Property,"","A rule that specifies how a SpecifiedDate is computed.","A property that is used by the class specified date."
"has date time",Property,"","identifies a specific date and time of day, excluding the time zone","A property specializing has that can be used by any class."
"has date time stamp",Property,"","identifies a specific date and time of day, including the time zone","A property specializing has that can be used by any class."
"has date time stamp value",Property,"","specifies an actual literal (explicit) date and time, including the time zone","A property that can be used by any class."
"has date time value",Property,"","specifies an actual literal (explicit) date and time","A property that can be used by any class."
"has date value",Property,"","specifies an actual literal (explicit) date captured in the format specified for xsd:date (i.e., ISO 8601 format), WITHOUT the time or timezone information; the semantics are identical to those of xsd:date","A property that can be used by any class."
"has dealt currency",Property,"","a predicate indicating the dealt currency in an exchange rate; R units of this currency represent one unit of the base currency","A property specializing has currency that can be used by any class."
"has default lot size",Property,"","indicates the default number of units of the security that may be held at any one time","A property specializing has numeric value that is used by the class debt offering."
"has definition",Property,"","specifies a form of words that conveys the meaning associated with something","A property specializing has representation that can be used by any class and has the inverse defines."
"has degree of control",Property,"","has degree of control, (partial, majority, or complete) either alone or with other parties, with respect to some activity","A property specializing has that is used by the class entity controlling party."
"has delegated control of",Property,"","indicates a legal person that has delegated some authority or control to this party","A property specializing is in control of thing that is used by the class legally delegated authority."
"has delegated control of itself",Property,"","indicates a legal person that has delegated some authority or control to this party, and as a result this party therefore has control over itself","A property specializing has delegated control of that is used by the class legally delegated authority and has the inverse delegates control to."
"has delivery date",Property,"","","A property specializing has end date that can be used by any class."
"has denotation",Property,"","relates a concept (or something else, but typically a concept) to a representation or denotation for that concept","A property specializing has representation that can be used by any class and has the inverse denotes."
"has description",Property,"","a textual description of something","A property that can be used by any class."
"has disposition date",Property,"","links something, such as an asset or its owner/controller/controllee to the date something was sold, transferred, destroyed, etc.","A property that can be used by any class."
"has duration",Property,"","the duration of a date period or similar concept, such as the tenor of a contract","A property specializing has that can be used by any class."
"has duration to maturity",Property,"","indicates the lifespan of a tradable debt instrument, from the issue date to the scheduled maturity date","A property specializing has duration that is used by the class debt offering."
"has duration value",Property,"","specifies a literal (explicit) duration (amount of time) captured in the format specified for xsd:duration (i.e., ISO 8601 format); the semantics are identical to those of xsd:duration","A property that is used by the class duration."
"has effective date",Property,"","the date a contract, relationship, or policy comes into force","A property specializing has date that can be used by any class."
"has end date",Property,"","the ending date of some Schedule or DatePeriod","A property specializing has date that can be used by any class."
"has equity",Property,"","the formally constituted organization has some form of stockholders equity","A property specializing has that is used by the class formally constituted organization."
"has execution date",Property,"","the date on which a contract has been fully performed by all parties","A property specializing has date that can be used by any class."
"has execution date time stamp",Property,"","the date and time, including time zone, on which a contract has been fully performed by all parties","A property specializing has date time stamp that can be used by any class."
"has expiration date",Property,"","links something, typically an agreement, contract, document, or perishable item, with an expiration date","A property specializing has end date that can be used by any class."
"has explicit date",Property,"","","A property specializing has date that can be used by any class."
"has family name",Property,"","the patronymic or family name of a person","A property specializing has person name that is used by the class person."
"has final stub",Property,"","identifies any special period at the end of a regular schedule","A property specializing has stub that can be used by any class."
"has first name",Property,"","the given name or first name of a person, that is the name chosen for them at birth or changed by them subsequently from the name given at birth","A property specializing has person name that is used by the class person."
"has first trade date",Property,"","","A property specializing has date that can be used by any class."
"has first trade settlement date",Property,"","","A property specializing has settlement date that can be used by any class."
"has formal name",Property,"","a name by which something is known for some official purpose or context, or which is structured in some way such as to always follow the same format regardless of usage","A property specializing has name that can be used by any class."
"has formula",Property,"","indicates a concise way of expressing information symbolically, as in a mathematical or chemical formula","A property specializing has that can be used by any class."
"has full legal name",Property,"","the legally complete name of a person, as used in formal dealings of a legal or contractual nature","A property specializing has person name that is used by the class person."
"has full sovereignty over",Property,"","relates a polity to a geopolitical entity where the polity has absolute, supreme and ultimate dominion and authority of a political state subject to no higher power, expressed within its territory in full self-government and in complete freedom from any outside influence","A property specializing has sovereignty over that can be used by any class."
"has funds tag",Property,"","relates a unique three-character string to the identifier for funds","A property specializing has unique identifier that is used by the class funds identifier."
"has funds type",Property,"","indicates the type of funds, such as next day for US funds","A property that is used by the class funds."
"has gender",Property,"","links a particular gender value with a person","A property that is used by the class person."
"has given name",Property,"","the given name or first name of a person, that is the name chosen for them at birth or changed by them subsequently from the name given at birth","A property specializing has person name that is used by the class person."
"has governing jurisdiction",Property,"","the jurisdiction governing the contract, as agreed by all parties","A property specializing is governed by that is used by the class contract."
"has guaranteed amount",Property,"","relates the guaranty to the monetary amount guaranteed","A property specializing has monetary amount that is used by the class guaranty."
"has headquarters address",Property,"","identifies the headquarters address for the registered entity","A property specializing has primary address that can be used by any class."
"has holding period",Property,"","identifies a holding period applicable to some financial asset","A property specializing has date period that can be used by any class."
"has identity",Property,"","provides a means for identifying something that fills a particular role","A property specializing has that can be used by any class."
"has in force",Property,"","relates a jurisdiction or situation to a rule, regulation or law (collectively 'law') that is currently in force in that situation or jurisdiction","A property that can be used by any class and has the inverse is in force in."
"has indicator value",Property,"","specifies quantity value for a given indicator","A property specializing has that can be used by any class."
"has initial stub",Property,"","identifies any special period at the start of a regular schedule","A property specializing has stub that can be used by any class."
"has input",Property,"","relates something (e.g. an occurrence) to something that is used as an input to some activity or process","A property that can be used by any class and has the inverse is input to."
"has interest calculation schedule",Property,"","links a set of terms to a corresponding schedule for calculating interest","A property specializing has schedule that can be used by any class."
"has interest payment terms",Property,"","","A property specializing has contractual element that can be used by any class."
"has interest rate",Property,"","relates something, such as an agreement, or debt instrument, to the rate (typically annual) of interest that is to be paid by the debtor to the creditor on the debt","A property specializing has that can be used by any class."
"has interest rate reset schedule",Property,"","links a set of terms to a corresponding schedule for resetting the interest rate, which may be either a regular or ad hoc schedule","A property specializing has schedule that can be used by any class."
"has internal entity",Property,"","the organization has some part which is formally defined as an Internal Entity, for example for reporting, management or accounting purposes","A property specializing has sub-unit that is used by the class formally constituted organization."
"has issued capital",Property,"","The total of a corporation's shares that are held by shareholders. A corporation can, at any time, issue new shares up to the full amount of authorized share capital.","A property specializing has nominal capital that can be used by any class."
"has issuer",Property,"","relates an instrument to the party that issued it","A property specializing has party in role that is used by the class financial instrument."
"has jurisdiction",Property,"","relates a polity or government entity to one or more jurisdictions, over which it has some level of legal authority","A property specializing controls that can be used by any class."
"has jurisdiction",Property,"","indicates the jurisdiction in which the regulatory agency has authority","A property specializing has that is used by the class regulatory agency."
"has last name",Property,"","the patronymic or family name of a person","A property specializing has person name that is used by the class person."
"has latitude",Property,"","Latitude values indicate the angular distance between the Equator and points north or south of it on the surface of the Earth.","A property that can be used by any class."
"has leg",Property,"","","A property specializing has that is used by the class swap."
"has legal form abbreviation",Property,"","The precise form of the incorporated company abbreviation as defined in the jurisdiction in which it is registered, for example LLC, LLP, Ltd, PLC, Corp.","A property that can be used by any class."
"has legal name",Property,"","the name used to refer to an person or organization in legal communications","A property specializing has formal name that can be used by any class."
"has listing date",Property,"","","A property specializing has date that can be used by any class."
"has longitude",Property,"","Lines of longitude, called meridians, run perpendicular to lines of latitude, and all pass through both poles. Longitude values indicate the angular distance between the Prime Meridian and points east or west of it on the surface of the Earth.","A property that can be used by any class."
"has maiden name",Property,"","the patronymic or family name which a person was born with and which predates any changes of name due to marriage","A property specializing has person name that is used by the class person."
"has maturity level",Property,"","","A property that can be used by any class."
"has maturity level",Property,"","","A property that can be used by any class."
"has measurement date",Property,"","a predicate indicating the date on which the measure was taken","A property specializing has date value that can be used by any class."
"has measurement period in months",Property,"","a predicate indicating the coverage period for which the measure is applicable expressed in months","A property that is used by the class measure."
"has measurement unit",Property,"","a quantity value is expressed in terms of a particular measurement unit","A property specializing has that is used by the class quantity value."
"has member",Property,"","relates something, typically a group or organization, to some discrete thing identified as a part (member) of it","A property that can be used by any class and has the inverse is member of."
"has middle name or initial",Property,"","","A property specializing has person name that is used by the class person."
"has minimum legal working age",Property,"","a predicate indicating the legal working age (minimum), in years, of people that are counted as members of the working population","A property that can be used by any class."
"has minor unit",Property,"","relates a code for the minor unit of currency to the currency or fund","A property that can be used by any class."
"has monetary amount",Property,"","relates something to a monetary amount (e.g. credit limit, notional amount)","A property specializing has that can be used by any class."
"has name",Property,"","that by which some thing is known; may apply to anything","A property that can be used by any class."
"has nature of control",Property,"","has nature or kind of control, de facto or limited de facto control","A property specializing has that is used by the class entity controlling party."
"has nominal capital",Property,"","Nominal capital is an alternate term for authorized share capital. The maximum value of securities that a company can legally issue. This number is specified in the memorandum of association (or articles of incorporation in the US) when a company is incorporated, but can be changed later with shareholders approval. Authorized share capital may be divided into (1) Issued capital - par value of the shares actually issued, (2) Paid up capital - money received from the shareholders in exchange for shares, and (3) Uncalled capital - money remaining unpaid by the shareholders for the shares they have bought.","A property specializing has that can be used by any class."
"has nominal number of units",Property,"","indicates the base (face value) number of units of something associated with some offering","A property specializing has amount that can be used by any class."
"has non-binding terms",Property,"","refers to terms that are included in the contract but are not considered binding","A property specializing has contractual element that is used by the class contract."
"has notional amount",Property,"","has a notional value expressed as some monetary amount, that is a number and a currency in which that number is denominated","A property specializing has monetary amount that can be used by any class."
"has notional step schedule",Property,"","links a set of terms to a corresponding notional step schedule, which may be either a regular or ad hoc schedule","A property specializing has schedule that can be used by any class."
"has number of entries",Property,"","a predicate indicated the number of elements in some document, table, or other resource (e.g., in a report, table)","A property that can be used by any class."
"has numeric code",Property,"","relates a numeric code to the currency or fund","A property specializing has unique identifier that can be used by any class."
"has numeric value",Property,"","indicates a value expressed as a number","A property that can be used by any class."
"has numeric value",Property,"","a number associated with a quantity value","A property that can be used by any class."
"has obligation",Property,"","identifies a duty or obligation that a given party has taken on","A property specializing has that is used by the class payer and has the inverse is obligation of."
"has occurrence",Property,"","identifies occurrences of a given occurrence kind","A property specializing has that is used by the class occurrence kind and has the inverse exemplifies."
"has offering",Property,"","relates something to a voluntary but conditional promise submitted by a buyer or seller (offeror) to another (offeree) for acceptance, and which becomes legally enforceable if accepted by the offeree","A property specializing has that can be used by any class and has the inverse is offering of."
"has offering amount",Property,"","indicates the notional monetary amount (face value), determined based on reference data, market rates or some other agreed method associated with some offering","A property specializing has notional amount that can be used by any class."
"has offering price",Property,"","indicates the price associated with an offering, which may be an explicit or calculated price","A property specializing has price that can be used by any class."
"has offering units",Property,"","indicates the actual number of units of something, including any premium on the number of units, associated with some offering","A property specializing has amount that can be used by any class."
"has operating address",Property,"","address at which the organization carries out its operations","A property specializing has that is used by the class formally constituted organization."
"has ordinal number",Property,"","An ordinal number meaning 1st, 2nd, 3rd, etc.","A property that can be used by any class."
"has output",Property,"","relates something (e.g. an occurrence) to something that is the result of some activity or process","A property specializing has that can be used by any class and has the inverse is output from."
"has outstanding amount",Property,"","indicates an amount of money representing the principal, interest, or other amount owed at a specific point in time","A property specializing has monetary amount that can be used by any class."
"has overall period",Property,"","identifies a DatePeriod that includes all the Dates of a Schedule, including any ScheduleStubs","A property specializing has date period that is used by the class schedule."
"has owned thing",Property,"","indicates the party in an ownership relationship where a party owns a thing","A property that is used by the class ownership and has the inverse is an owned thing in role."
"has owning party",Property,"","indicates the thing in an ownership relationship where a party owns a thing","A property that is used by the class ownership and has the inverse is an owning party in role."
"has part",Property,"","indicates any portion of a thing, regardless of whether the portion itself is attached to the remainder or detached; cognitively salient or arbitrarily demarcated; self-connected or disconnected; homogeneous or gerrymandered; material or immaterial; extended or unextended; spatial or temporal","A property that can be used by any class and has the inverse is a part of."
"has partial sovereignty over",Property,"","relates a polity to a geopolitical entity where the polity exercises partial dominion and authority of a political state","A property specializing has sovereignty over that can be used by any class."
"has party",Property,"","identifies an independent party associated with an agreement, contract, policy, regulation, or other business arrangement","A property specializing has that can be used by any class and has the inverse is a party to."
"has party in role",Property,"","identifies a party acting in a specific role as related to the particular agreement, contract, policy, regulation, or other business relationship","A property specializing has that can be used by any class."
"has payment amount",Property,"","specifies the amount of money involved in a payment","A property specializing has monetary amount that is used by the class payment."
"has percentage control",Property,"","indicates the percentage (out of 100) control that one party has over another","A property specializing has that is used by the class degree of control."
"has percentage value",Property,"","indicates the value of a percentage expressed as a fraction of 100","A property that is used by the class percentage."
"has periodicity",Property,"","specifies a recurrence interval (monthly, quarterly, annual) that an indicator reflects","A property specializing has recurrence interval that can be used by any class."
"has person name",Property,"","links any sort of name to an individual person","A property specializing has name that is used by the class person."
"has place of birth",Property,"","links a person with their place of birth","A property specializing has that is used by the class person."
"has pool number",Property,"","indicates the pool number of the debt","A property specializing has numeric value that is used by the class publicly issued debt."
"has population size",Property,"","a predicate indicating the number of elements in a given population","A property specializing has amount and has amount that can be used by any class."
"has postal code",Property,"","the postal code of this address as specified by the local postal service","A property that is used by the class registration address."
"has price",Property,"","indicates the value of something expressed as an amount of money or goods","A property specializing has that can be used by any class."
"has price and yield day count convention",Property,"","indicates the convention used to determine the number of days in a month and days in a year that are counted when performing calculations for yield and price figures","A property specializing has business recurrence interval convention that can be used by any class."
"has primary address",Property,"","The main address at which communications to the organization may be addressed; its headquarters address.","A property specializing has that is used by the class formally constituted organization."
"has principal",Property,"","indicates the face value of an obligation, such as a bond or loan, that must be repaid at maturity, i.e., the base amount raised by a mortgage or other debt instrument","A property specializing has that can be used by any class."
"has principal",Property,"","identifies the main or principal party to a contract","A property specializing has contract party that is used by the class contract."
"has principal repayment date",Property,"","relates an instrument to the date when the principal must be repaid in full","A property specializing has end date that is used by the class principal repayment terms."
"has priority level",Property,"","relates a guaranty to some level of priority that guaranty has in the context of the contract, for example for a credit enhancement priority","A property specializing has that is used by the class guaranty."
"has publisher",Property,"","some person or organization whose role it has been to publish this information","A property that is used by the class publication and has the inverse publishes."
"has quantity kind",Property,"","a quantity is an instance of the category of quantity that is the quantity kind","A property specializing has that is used by the class quantity."
"has quotation block amount basis",Property,"","indicates the amount of the dealt currency which would be exchanged in a trade for which the stated spot rate applies","A property that is used by the class quoted exchange rate."
"has quotation date",Property,"","indicates the quotation date for a given market rate or indicator","A property specializing has date that can be used by any class."
"has quotation date and time",Property,"","indicates the quotation date and time for a given market rate or indicator","A property specializing has date time that can be used by any class."
"has quotation settlement basis",Property,"","indicates the settlement period for a trade for which the stated spot rate applies","A property specializing has duration that is used by the class quoted exchange rate."
"has quotation settlement basis in days",Property,"","the settlement period in days for a trade for which the stated spot rate applies","A property that is used by the class quoted exchange rate."
"has quote currency",Property,"","indicates the quote currency in an exchange rate; R units of this currency represent one unit of the base currency","A property specializing has dealt currency that can be used by any class."
"has rate reset time of day",Property,"","indicates the time of day when a rate is reset","A property specializing has date time that can be used by any class."
"has rate value",Property,"","has a value for a rate expressed as a number (may be a percentage or raw number)","A property that can be used by any class."
"has reach",Property,"","indicates the geopolitical unit (country, federal province or municipality) or geophysical extent in which the jurisdiction has effect","A property that is used by the class jurisdiction."
"has recurrence interval",Property,"","","A property specializing has that can be used by any class."
"has recurrence start date",Property,"","the starting Date of the first recurrence of a RegularSchedule","A property specializing has start date that can be used by any class."
"has redemption terms",Property,"","","A property specializing has contractual element that can be used by any class."
"has reference currency",Property,"","relates a reference rate to the currency it is based on","A property specializing has that is used by the class reference interest rate."
"has reference period",Property,"","specifies a reference (baseline) recurrence interval for which a given economic indicator applies","A property specializing has recurrence interval that can be used by any class."
"has regional context",Property,"","specifies the regional (geopolitical) context for a given measurement, population, or economic indicator","A property specializing has context that can be used by any class."
"has registered address",Property,"","The organization has an address at which it is registered and at which legal papers may be served on it.","A property specializing has that is used by the class formally constituted organization."
"has registration date",Property,"","","A property specializing has date that can be used by any class."
"has registration requirement",Property,"","identifies a registation requirement that is applicable to a given security","A property specializing has that can be used by any class."
"has registration status",Property,"","the status of a specific registration, such as a registered identifier or license","A property that can be used by any class."
"has registration status revision date",Property,"","the date that the status of a specific registration in the registry was revised","A property specializing has date that can be used by any class."
"has registry entry",Property,"","","A property specializing has part that is used by the class registry."
"has relative duration",Property,"","a duration between two explicit dates","A property specializing has duration value that can be used by any class."
"has release date",Property,"","specifies the release date for a given economic indicator","A property specializing has date that can be used by any class."
"has repayment terms",Property,"","","A property specializing has contractual element that can be used by any class."
"has reporting period",Property,"","specifies the reporting period for which a report or something else, such as a market rate or economic indicator, applies","A property specializing has date period that can be used by any class."
"has reporting period",Property,"","specifies the reporting period for which a given economic indicator applies","A property specializing has date period that can be used by any class."
"has representation",Property,"","relates a concept to some textual or other symbol which is intended to convey the sense of that concept or to some form of words which sets out the meaning of that concept","A property specializing has that can be used by any class and has the inverse represents."
"has restriction",Property,"","identifies a restriction applicable to a given financial instrument or listing","A property specializing has that can be used by any class."
"has role",Property,"","provides a means for relating a person, organization, group, or other entity to a role that entity plays in some relationship and context","A property specializing has that is used by the class thing in role."
"has schedule",Property,"","indicates a schedule for something","A property specializing has that can be used by any class."
"has series",Property,"","indicates the series identified by the issuer in the event that the instrument is issued in several series (also known as tranches)","A property that can be used by any class."
"has series origin",Property,"","specifies the original starting date for the time series for a given economic indicator","A property specializing has start date that can be used by any class."
"has settlement date",Property,"","a predicate indicating the date by which an executed order or transaction must be settled","A property specializing has end date that can be used by any class."
"has settlement date",Property,"","the date by which an executed order must be settled, either by a buyer paying for the securities with cash or by a seller delivering the securities and receiving the proceeds of the sale for them","A property specializing has date that can be used by any class."
"has settlement date",Property,"","a predicate indicating the settlement date of a given transaction","A property specializing has date that can be used by any class."
"has shared sovereignty over",Property,"","relates a polity to a geopolitical entity where the polity exercises shared dominion and authority of a political state","A property specializing has sovereignty over that can be used by any class."
"has signatory",Property,"","has a party which is authorized to sign contracts on behalf of the entity","A property specializing has party in role that is used by the class formally constituted organization."
"has sovereignty over",Property,"","relates a polity to a geopolitical entity where the polity exercises dominion and authority of a political state","A property specializing has that is used by the class polity."
"has stage",Property,"","relates something, such as a product or trade lifecycle or related process, to a phase or stage in that lifecycle","A property specializing has part that can be used by any class and has the inverse is stage of."
"has start date",Property,"","the starting Date of something","A property specializing has date that can be used by any class."
"has stub",Property,"","","A property specializing has that is used by the class regular schedule."
"has sub-unit",Property,"","The company has a branch, which is part of that company. This may be in another country or in the country in which that company is registered (incorporated).","A property specializing has part that is used by the class formally constituted organization and has the inverse is sub-unit of."
"has subdivision",Property,"","identifies the country subdivision (state, province, region, etc.) according to ISO 3166-2","A property specializing has that can be used by any class."
"has subscription amount",Property,"","","A property specializing has amount and has amount that can be used by any class."
"has subscription period",Property,"","","A property specializing has date period that can be used by any class."
"has surname",Property,"","the patronymic or family name of a person","A property specializing has person name that is used by the class person."
"has tenor",Property,"","indicates the length of time for which a given rate, such as an interbank rate, exchange rate, other market rate is quoted, or a debt instrument has remaining prior to maturity or expiration","A property specializing has duration that can be used by any class."
"has tenor in days",Property,"","a predicate indicating the length of time for which the interbank rate is quoted expressed as a number of days","A property that is used by the class interbank rate."
"has tenor in months",Property,"","a predicate indicating the length of time for which the interbank rate is quoted, e.g., 3 months, 6 months expressed as a number of months","A property that is used by the class interbank rate."
"has termination date",Property,"","links something, typically an agreement, contract, document, or process, with a date on which it was terminated","A property specializing has end date that can be used by any class."
"has terms",Property,"","identifies the written terms which define and describe the commitments, rights and obligations of the parties to the contract and set out commonly agreed definitions, calculations and the like, and which form part of the contract","A property specializing has that is used by the class contract."
"has third party",Property,"","identifies a party which is not signatory to the party but has some role in the overall context defined by the contract.","A property specializing has party in role that is used by the class contract."
"has time context",Property,"","specifies the time context for a given measurement, population, or economic indicator","A property specializing has context and has date period that can be used by any class."
"has time direction",Property,"","A TimeDirection indicates whether a CalendarSpecifiedDate is figured from the beginning or end of a calendar period.","A property specializing has that can be used by any class."
"has trade date",Property,"","a predicate indicating the date on which a security or commodity future trade actually takes place","A property specializing has date that can be used by any class."
"has trade repository namespace",Property,"","indicates the trade repository namespace component of a unique trade identifier","A property that is used by the class unique trade identifier."
"has trade repository transaction identifier",Property,"","indicates the transaction identifier component of a unique trade identifier, which is unique at the repository level","A property that is used by the class unique trade identifier."
"has unique identifier",Property,"","has some textual or numeric information which when taken in combination with some associated scheme is unique to the thing and may be used to distinguish it from other things of the same or different type","A property that can be used by any class."
"has universe size",Property,"","a predicate indicating the number of elements in a given universe","A property specializing has amount and has amount that can be used by any class."
"has url",Property,"","","A property that can be used by any class."
"has value at issue",Property,"","indicates a relative price with respect to the face value at which an instrument is issued, namely par, premium or discount","A property specializing has price that can be used by any class."
"has value at redemption",Property,"","indicates a relative price with respect to the face value at the time an instrument is redeemed, namely par, discount or premium","A property specializing has price that can be used by any class."
"has value expressed in",Property,"","relates an instrument to the currency its value is typically expressed in","A property specializing has that is used by the class financial instrument."
